host_ns,event_id,stage,synthetic,command_q_J1_deg,command_q_J2_deg,command_q_J3_deg,command_q_J4_deg,command_q_J5_deg,command_q_J6_deg,actual_q_J1_deg,actual_q_J2_deg,actual_q_J3_deg,actual_q_J4_deg,actual_q_J5_deg,actual_q_J6_deg,actual_qd_J1_deg_s,actual_qd_J2_deg_s,actual_qd_J3_deg_s,actual_qd_J4_deg_s,actual_qd_J5_deg_s,actual_qd_J6_deg_s,actual_tcp_x,actual_tcp_y,actual_tcp_z,actual_tcp_rx,actual_tcp_ry,actual_tcp_rz,robot_mode,safety_mode,runtime_state,speed_scaling
2544859652014400,approach-all-ana-d0-r01-move-pt01,approach,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859702430000,approach-all-ana-d0-r02-move-pt02,approach,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859748000300,approach-all-ana-d0-r03-move-pt03,approach,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859793934500,approach-all-ana-d0-r04-move-pt04,approach,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859843699500,approach-all-ana-d0-r05-move-pt05,approach,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859894311800,approach-all-ana-d0-r06-move-pt06,approach,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859408844980,static-all-ana-d0-r01-hold-hold,static,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859416407560,static-all-ana-d0-r01-hold-hold,static,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859423970140,static-all-ana-d0-r01-hold-hold,static,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859431532720,static-all-ana-d0-r01-hold-hold,static,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
2544859439095300,static-all-ana-d0-r01-hold-hold,static,1,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,-53.836500,-175.699200,148.288700,-137.469900,-17.512000,-112.490900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.176631,-0.185170,0.541119,0.000000,0.000000,0.000000,SIMULATED,1,0,1.0
